Index,ID,Last Job,Influence,Risk Score,Hiring Score,Work Experience,Skill 1,Skill 2,Skill 3,Skill 4,Skill 5,Skill 6,Skill 7,Skill 8,Skill 9,Skill 10
496,496,Contract Accountant,8,0.0,52.71,21,General Accounting,Financial Management,Payroll Management,Internal Controls,Audit and Compliance,Leadership,Quality Management,,,
497,497,Accountant II,6,19.0,19.73,13,Accounting,Financial Analysis,Financial Reporting,Payroll Management,General Ledger Management,Compliance,Auditing,Time Management,Attention to Detail,
498,498,Director of National Sales- US. Healthcare,9,13.8,37.55,18,Sales Management,Business Development,Leadership,Strategy Development,Customer Service,Budgeting,Contract Negotiation,,,
499,499,VICE PRESIDENT OF MEMBERSHIP,10,0.0,68.31,18.5,Leadership,Business Development,Sales and Marketing,Relationship Management,Project Management,Communication and Presentation,Financial Literacy,,,
500,500,Lean Six Sigma Black Belt,9,21.0,52.79,23,Leadership,Project Management,Logistics Management,Financial Management,Inventory Management,Supply Chain Management,,,,
501,501,"Manager, Advisory, Performance Improvement",9,50.0,9.17,10,Project Management,System Analysis,IT Consulting,Solution Architecture,Banking and Financial Services,System z,Distributed Applications,COBOL,PL/I,PL/SQL
502,502,Finance Manager,8,13.6,55.96,18,Financial Management,Accounting,Budgeting,Financial Analysis,Debt Management,Leadership,Financial Reporting,Treasury Management,Taxation,Banking
503,503,HR Generalist,8,29.5,34.56,9,Recruitment,HR Management,Employee Onboarding,Payroll Management,Leadership,Communication,Time Management,Data Management,Microsoft Excel,
504,504,Graduate Engineer,7,50.0,9.66,10,CAD Design,Transportation Engineering,Project Management,Microsoft Excel,VBA Programming,Data Analysis,Communication,,,
505,505,Accountant,6,0.0,52.71,12,Accounting,Financial Management,Financial Reporting,Payroll Administration,Customer Service,Cash Handling,,,,
506,506,Finance Manager,10,0.0,76.84,22,Financial Forecasting,Financial Analysis,Financial Modeling,Leadership,Financial Planning,Financial Reporting,Risk Management,Budgeting,Financial Management,Accounting
507,507,Patient Care Technician,6,22.1,36.97,11,Patient Care,Nursing Assistance,Mobility Assistance,Vital Signs Monitoring,Daily Living Activities,Customer Service,Cash Handling,,,
508,508,"PHARMACEUTICAL SALES REPRESENTATIVE, Women's Healthcare Specialist",8,29.5,35.66,29,Sales,Account Management,Customer Service,Marketing,Communication,Leadership,Strategic Planning,Time Management,Public Relations,
509,509,Hiring Manager/Recruiting Manager,8,6.0,46.57,11,Recruitment,Leadership,Human Resource Management,Communication,,,,,,
510,510,Tax Accountant,6,72.5,3.35,8,Tax Preparation,Bookkeeping,Account Reconciliation,Financial Analysis,Payroll Management,Microsoft Excel,,,,
511,511,VP Finance & IS&T,10,12.5,43.83,34,Project Management,Financial Planning and Analysis (FP&A),SAP ERP Implementation,Business Intelligence,Leadership,Finance Transformation,Cost Savings,System Harmonization,Risk Management,Governance
512,512,Healthcare Effectiveness and Information Set Coordinator (HEDIS),6,15.4,44.7,18,Customer Service,Communication,Data Entry,Microsoft Office Suite,Time Management,Problem-Solving,Teamwork,,,
513,513,Independent Consultant,8,30.1,30.42,20,Leadership,Event Planning,Customer Service,Accounts Receivable,Accounts Payable,Project Management,Communication,Time Management,Problem-Solving,Microsoft Office
514,514,HR Specialist,8,75.0,2.2,28,Recruitment,Classification,Compensation Analysis,Project Management,Leadership,Training and Development,Communication,Analysis,Problem-Solving,
515,515,Client Relations Advocate,5,39.1,16.85,15,Customer Service,Data Entry,Record Keeping,Time Management,Childcare,,,,,
516,516,Assistant Director of Finance,9,13.7,54.88,21,Financial Analysis,Accounting,Budgeting,Financial Reporting,Leadership,Project Management,Data Analysis,Microsoft Excel,Hyperion,
517,517,Financial Analyst Intern,9,6.0,56.9,10,Financial Analysis,Investment Analysis,Financial Planning,Leadership,Risk Management,Portfolio Management,Financial Modeling,Data Analysis,Business Development,
518,518,Admin Operating Room Administrative Coordinator,8,11.9,55.59,17,Leadership,Time Management,Communication,Problem-Solving,Mental Health Counseling,Patient Care,Scheduling,Teamwork,Healthcare Administration,Food Safety and Sanitation
519,519,Healthcare Recruiter,7,16.7,27.18,18,Recruitment,Communication,Time Management,Organizational Skills,Customer Service,Data Entry,Financial Management,Microsoft Office,,
520,520,AMC Computer Specialist and Intern,8,8.0,26.29,33,Software Development,Project Management,Leadership,Troubleshooting,Communication,IT Management,Problem-Solving,Customer Support,Data Analysis,
521,521,Assistant to CFO,8,10.0,52.16,24,Microsoft Excel,Project Management,Leadership,Communication,Customer Service,Data Analysis,Budgeting,Time Management,Organizational Skills,
522,522,Information Technology Specialist,9,20.4,55.65,30,Software Development,Project Management,Change Management,Database Management,Leadership,Communication,Problem-Solving,Testing and Quality Assurance,Algorithm Development,Statistical Analysis
523,523,Financial Consultant,9,57.2,9.46,18,Financial Planning,Financial Analysis,Forecasting,Leadership,Financial Modeling,Business Development,Client Relationship Management,Microsoft Excel,,
524,524,Applications Team Leader,8,27.6,37.82,27,Project Management,Leadership,Data Analysis,Database Management,Software Administration,Strategic Planning,Communication,Team Management,SharePoint,Web Development
525,525,HR Generalist,7,8.3,61.89,14,Immigration Law,Regulatory Compliance,Project Management,Leadership,Communication,Data Management,Time Management,Microsoft Office,,
526,526,HR Specialist,6,33.3,22.57,20,Payroll Management,Bookkeeping,Administrative Support,Time Management,Communication,Data Entry,Customer Service,Microsoft Office,,
527,527,Business Banking Specialist,9,19.6,26.41,19,Sales Training,Leadership,Customer Service,Marketing,Project Management,Conflict Management,Public Relations,Employee Training,Team Management,Communication
528,528,Owner/Operator,7,50.0,8.49,18,Leadership,Management,Personal Training,Sales,Operations,Business Development,,,,
529,529,Mortgage Banking Foreclosure Specialist,9,19.4,47.43,21,Mortgage Banking,Data Entry,Quality Control,Customer Service,Analytical Skills,Time Management,Industry Guidelines,,,
530,530,Finance Office Associate,7,13.8,37.47,7,Financial Reporting,Account Reconciliation,Cash Management,Customer Service,Time Management,Communication,Problem-Solving,Microsoft Excel,Leadership,Accounting
531,531,Finance Manager,9,0.0,64.4,22,Financial Planning,Financial Reporting,Financial Analysis,Leadership,Risk Management,Audit and Assurance,Financial Modeling,Tax Planning,Internal Controls,Accounting Standards
532,532,General HR Assistant/Office Assistant,7,0.0,41.83,22,Customer Service,Human Resources,Data Entry,Leadership,Time Management,Communication,Training and Development,,,
533,533,Production Associate,4,54.0,6.06,28,Help Desk Support,Technical Training,Troubleshooting,Network Administration,Novell Netware,,,,,
534,534,Customer Service Advocate,7,54.0,9.22,21,Customer Service,Communication,Problem-Solving,Leadership,Time Management,,,,,
535,535,Regional Director of Banking and Wealth,9,35.5,20.93,9,Leadership,Strategic Planning,Team Management,Customer Engagement,Revenue Growth,Financial Management,Business Administration,,,
536,536,HR Benefits/Leave Coordinator,6,17.0,44.36,22,HR Administration,Leave Management,Benefits Administration,Payroll Management,Compliance and Regulatory Affairs,Training and Development,Communication and Interpersonal Skills,Data Analysis and Reporting,,
537,537,Customer Advocate,6,29.5,20.59,10,Customer Service,Communication,Problem-Solving,Time Management,Leadership,Event Planning,Data Entry,,,
538,538,Business Process Analyst,8,35.0,25.19,12.3,HR Operations,Recruitment,Payroll Management,Employee Relations,Leadership,Project Management,Communication,Audit and Compliance,Microsoft Office,
539,539,Mortgage Banking Document Mortgage Banking Doc Ops Specialist,9,39.1,16.92,26,Time Management,Organizational Skills,Customer Service,Quality Assurance,Communication,Training and Development,,,,
540,540,Youth Advocate,7,52.0,5.4,18,Counseling,Case Management,Teaching,Leadership,Communication,Problem-Solving,Record-Keeping,Mental Health Support,,
541,541,Trip Coordinator,8,33.3,30.39,10,Financial Management,Operational Finance,Leadership,Financial Analysis,Budgeting,Microsoft Office,Project Management,Contract Negotiation,,
542,542,Accountant,9,25.0,20.91,16,Financial Reconciliation,General Accounting,Financial Analysis,Journal Entries,Ledger Management,Bank Reconciliation,Financial Reporting,,,
543,543,Branch Banker III,9,25.0,26.35,18,Customer Service,Sales,Relationship Management,Leadership,Time Management,Communication,Teamwork,,,
544,544,CONSUMER BANKING DEFAULT MANAGEMENT SUPERVISOR,9,24.4,41.11,21,Leadership,Operations Management,Team Management,Customer Service,Communication,Problem-Solving,Time Management,Finance,,
545,545,Adjunct Information Technology Instructor,8,23.2,45.32,17,Python,C#,Java,Javascript,Visual Basic,Web Design,Help Desk Support,Network Configuration,Hardware Repair,Software Repair
546,546,Regional Recruiter,7,28.0,29.67,14,Recruitment,Communication,Data Entry,Healthcare Administration,Financial Administration,Oracle Administration,Teaching,,,
547,547,Manager of Finance,7,12.5,56.11,10,Account Management,Financial Management,Customer Service,Leadership,Inventory Management,Time Management,,,,
548,548,Teacher Assistant,7,19.0,46.45,18,Teaching Assistance,Classroom Management,Communication,Administrative Support,Customer Service,Data Entry,Healthcare Support,,,
549,549,Patient Care Technician,7,12.5,37.47,14,Patient Care,Medical Documentation,Leadership,Communication,Time Management,Troubleshooting,Teamwork,Basic Life Support (BLS),Nursing,
550,550,Branch Banker,8,0.0,41.83,33,Customer Service,Sales and Marketing,Leadership,Banking Operations,Loan Management,Account Management,Compliance and Risk Management,,,
551,551,Healthcare Clinical Analyst,9,19.5,30.36,14.7,Leadership,Project Management,Data Analysis,Communication,Research,Time Management,Collaboration,Training and Development,Quality Assurance,Grant Writing
552,552,Information Technology Manager,8,27.4,20.94,29,Project Management,IT Governance,Data Security,Database Development/Maintenance,SQL,PL/SQL,Crystal Reports,Visual Basic,Leadership,Troubleshooting
553,553,Banking Center Manager,9,20.8,45.66,17,Leadership,Sales,Customer Service,Team Management,Financial Products,Communication,Problem-Solving,Banking Operations,,
554,554,Senior Advisor and National Fundraising Director,8,46.0,13.76,6,Project Management,Fundraising,Budgeting,Leadership,Digital Marketing,Communication,Team Management,Strategic Planning,,
555,555,Manager Field,7,23.7,42.86,20,Leadership,Quality Assurance,Customer Service,Data Entry,Case Management,Communication,Time Management,Compliance,,
556,556,Sales Associate,6,17.5,46.49,8,Time Management,Communication,Teamwork,Customer Service,Fitness Instruction,Personal Training,,,,
557,557,Finance Officer,7,55.0,6.93,34,Financial Reconciliation,General Accounting,Payroll Management,Budgeting,Leadership,Event Management,Tourism Promotion,,,
558,558,Passenger Service Concourse Manager,9,36.7,21.18,16,Leadership,Operations Management,Team Management,Communication,Problem-Solving,Time Management,Safety Management,Customer Service,,
559,559,Banking Boot Camp Participant,4,61.4,5.99,9,Customer Service,Communication,Time Management,Teamwork,Basic Office Skills,,,,,
560,560,Senior Information Technology Manager,9,0.0,85.38,23,Cloud Computing,Project Management,IT Management,Server Management,Storage Management,Network Support,Troubleshooting,Leadership,Communication,
561,561,School Counselor,6,25.0,26.35,16,Counseling,Classroom Management,Communication,Documentation,Microsoft Office,Teaching,Writing,,,
562,562,Management and Program Analysis,8,20.0,23.28,8,Budgeting,Financial Analysis,Accounting Operations,Financial Reporting,Project Management,Data Analysis,,,,
563,563,Senior Exercise Specialist & Sports and Recreation Coordinator,9,0.0,4.01,20,Project Management,Leadership,Communication,Problem-Solving,Time Management,Team Management,Fitness Program Development,Audit and Compliance,,
564,564,Child Performer Welfare Advocate,7,10.0,40.57,11,Customer Service,Time Management,Organizational Skills,Leadership,Communication,Problem-Solving,Data Entry,,,
565,565,Retail Sales Consultant,7,29.5,33.95,11,Customer Service,Sales,Time Management,Communication,Cash Handling,Problem-Solving,,,,
566,566,HR Specialist,7,0.0,52.71,17,HR Management,Recruitment,Onboarding,Compliance,Employee Relations,Communication,Data Entry,Customer Service,SAP,
567,567,Plant Fulfillment Leader,10,25.0,38.42,16,Leadership,Project Management,Inventory Management,Supply Chain Management,Lean Manufacturing,Materials Management,Microsoft Excel,Communication,,
568,568,Clinical Study Coordinator II,8,4.0,70.82,12,Clinical Research Coordination,Patient Recruitment and Management,Data Collection and Management,Regulatory Compliance,Leadership and Team Management,Exercise Physiology,Communication and Interpersonal Skills,Project Management,Epic EHR/EMR Systems,
569,569,AFSCME Union President,10,16.7,33.15,30,Leadership,Project Management,Operational Management,Time Management,Compliance Management,Communication,,,,
570,570,Customer Service Agent,7,32.5,32.96,11,Customer Service,Medical Billing,Data Entry,ICD-9 Coding,CPT Coding,Patient Confidentiality,Time Management,Communication,Medical Records Management,
571,571,HR Coordinator,7,6.0,66.38,18,Payroll Management,HR Management,Employee Relations,Recruitment,Data Entry,Microsoft Office,,,,
572,572,Accountant,5,31.0,18.32,3,Financial Reconciliation,Payroll Management,Microsoft Excel,Financial Reporting,Accounting,,,,,
573,573,Child Center Asst Dept Head,8,10.0,4.01,21,Leadership,Child Development,Program Management,Customer Service,Lesson Planning,Classroom Management,,,,
574,574,Digital Marketing Specialist,9,15.6,62.01,18,Digital Marketing,SEO and SEM,Data Analysis,Project Management,Leadership,Marketing Strategy,CRM Management,Team Management,Communication,Time Management
575,575,"Associate, Investment Banking Operations",9,36.4,26.48,13,Investment Banking Operations,Loan Management,Data Analysis,Project Management,Compliance Management,System Enhancements,Communication,Microsoft Excel,,
576,576,HR Manager,7,33.8,35.06,21,Human Resource Management,Leadership,Strategic Planning,Team Management,Policy Development,,,,,
577,577,Finance and Sales Consultant,6,23.5,27.77,4.5,Sales,Finance,Leadership,Marketing,Customer Service,Time Management,Communication,Real Estate,,
578,578,Online Learning Coordinator - Program Training and Support,9,0.0,64.4,21,Instructional Design,Staff Development,Curriculum Development,Educational Technology,Leadership,Project Management,Public Speaking,Training and Development,,
579,579,Accountant,9,19.0,40.04,22,Leadership,Budgeting,Financial Management,Asset Management,Financial Analysis,Project Management,Communication,Real Estate,Negotiation,
580,580,Accountant,8,4.0,38.55,17,Financial Reporting,Financial Analysis,Grant Management,Budgeting,Accounting,Financial Reconciliation,Payroll Management,Leadership,Project Management,Procurement
581,581,STAFF ACCOUNTANT,6,24.4,23.01,11,Financial Analysis,Financial Reporting,Budgeting,Financial Management,Accounts Payable Management,Process Improvement,,,,
582,582,"Online Coaching, Personal Training",8,10.0,52.16,24,Personal Training,Nutrition Programming,Weight Loss Consultations,Health Coaching,Leadership,Communication,,,,
583,583,Sale Consultant,4,51.6,10.98,1.75,Customer Service,Sales,Cash Handling,Visual Merchandising,Time Management,,,,,
584,584,Database Programmer/Analyst (.NET Developer),7,4.0,70.82,8,C#,ASP.Net,JavaScript,CSS,HTML,Entity Framework,LINQ,ADO.Net,AJAX,SQL Server
585,585,Personal Trainer,6,100.0,0.0,14,Personal Training,Leadership,Time Management,Communication,Team Management,Customer Service,Social Media Marketing,,,
586,586,Business Analyst Sr. Technical Business Analyst,7,62.8,0.99,5,Project Management,Business Analysis,Cloud Computing,Software Development Life Cycle (SDLC),Application Implementation,Requirements Gathering,J2EE,Web Development,Sales Force Automation,Customer Relationship Management
587,587,Healthcare Instructional Assistant,7,25.4,34.75,18,Health Education,Healthcare Administration,Patient Care,Classroom Management,Instructional Support,Communication,,,,
588,588,Healthcare Customer Service Representative,9,18.8,45.02,14,Customer Service,Communication,Leadership,Problem-Solving,Time Management,Team Management,,,,
589,589,Accountant III,7,0.0,73.14,17.5,Grant Management,Financial Reconciliation,Accounts Receivable,Accounts Payable,General Ledger,Journal Entries,Budgeting,Cash Handling,Customer Service,Teaching/Instruction
590,590,"Information Technology Consultant, Managing Member",10,4.0,70.82,14,Technical Support,IT Project Management,Leadership,Cloud Computing,Network Design,Problem-Solving,Communication,,,
591,591,"Eighth, Ninth and Tenth English Teacher",7,25.4,27.25,9,Teaching,Curriculum Development,Classroom Management,Communication,Leadership,Assessment and Evaluation,Lesson Planning,,,
592,592,General Manager,10,0.0,64.4,21,Leadership,Sales and Marketing,Customer Service,Financial Management,Project Management,Data Analysis,Team Management,,,
593,593,Human Resources Manager,8,15.4,44.83,14,Human Resources Management,Recruitment,Employee Onboarding,Employment Law,Leadership,Communication,Sales,Customer Service,Payroll Management,Microsoft PowerPoint
594,594,Director of Information Technology,9,28.6,37.19,24,Project Management,Budgeting,Leadership,Data Analysis,Risk Management,ITIL Governance,Communication,Change Management,,
595,595,Operations Technician 1,9,17.2,44.15,11,Quality Control,Mechanical Maintenance,Troubleshooting,Safety Procedures,Leadership,Project Management,Time Management,Communication,Customer Service,
596,596,Student,8,20.0,26.58,21,Leadership,Project Management,Communication,Data Management,Time Management,Teamwork,Problem-Solving,Microsoft Office,,
597,597,School Success Advocate,8,17.2,27.5,11,Leadership,Mentorship,Project Management,Communication,Team Building,Academic Support,Social Justice,Public Speaking,,
598,598,Customer Service Associate/Cashier,7,41.6,7.95,18,Customer Service,Cash Handling,Medical Administration,HIPAA Compliance,Bookkeeping,Microsoft Office,Housekeeping,Time Management,,
599,599,Administrative Coordinator,7,15.2,55.26,13,Event Management,Communication,Project Management,Marketing,Data Management,,,,,
600,600,Finance Director,9,44.7,18.39,33,Financial Analysis,Accounting,Financial Reporting,Budgeting,Leadership,Microsoft Excel,Project Management,Time and Expense Management,Payroll Management,Accounts Receivable
601,601,Healthcare Senior Outreach Specialist,8,0.0,50.75,16,Public Speaking,Community Outreach,Policy Development,Leadership,Quality Assurance,Employee Management,Communication,,,
602,602,HR Assistant,6,0.0,52.71,22,Human Resource Management,Leadership,Employee Relations,Recruitment and Selection,Employee Performance Management,Inventory Management,Customer Service,,,
603,603,Staff Accountant,6,0.0,4.01,27,Payroll Management,Payroll Accounting,Timekeeping Systems,Budgeting,Accounting,,,,,
604,604,Member Advocate,8,10.0,24.47,22,Customer Service,Claims Management,Insurance Verification,Admissions Coordination,Business Development,Leadership,Account Management,Communication,Problem-Solving,Time Management
605,605,Corporate Regional Recruiter,7,43.6,19.06,18,Recruitment,Talent Acquisition,Marketing,Leadership,Communication,Strategic Planning,Networking,Time Management,Goal Setting,
606,606,Accountant I,6,33.6,16.02,15.25,Administrative Support,Record Keeping,Customer Service,,,,,,,
607,607,School Library Media Specialist,7,19.0,27.44,20,Project Management,Leadership,Communication,Grant Writing,Marketing,Instructional Design,Data Analysis,Collaboration,Technology Integration,
608,608,Home Healthcare Technician,7,40.8,17.18,17,Patient Care,Emotional Support,Communication,Time Management,Confidentiality,,,,,
609,609,I.T. Support Technician/Specialist,7,41.9,15.17,19,Technical Support,Networking,Problem Solving,Leadership,Communication,,,,,
610,610,Director of Finance,9,52.0,14.61,34,Financial Statement Preparation,Budgeting,Financial Analysis,Leadership,Yield Management,Internal Controls,IT Management,Contract Negotiation,Financial Forecasting,Financial Reporting
611,611,General Business Management,8,28.3,36.63,10,Sales Management,Marketing Management,Customer Service,Leadership,Project Management,SQL,Team Building,,,
612,612,4/5 Grade Teacher,8,28.5,36.67,19,Curriculum Development,Classroom Management,Assessment and Evaluation,Leadership,Communication,Microsoft Word,Budgeting,Event Planning,Staff Management,
613,613,Branch Manager,8,0.0,38.75,12,Leadership,Customer Service,Financial Management,Marketing and Promotion,Team Management,Time Management,Communication,Problem-Solving,Accounting,
614,614,Finance Analyst,8,35.5,19.98,10,Financial Analysis,Asset Management,Leadership,Communication,Project Management,Time Management,Data Analysis,Accounting,,
615,615,Accountant,5,25.0,38.42,6,Accounting,Financial Reconciliation,Payroll Management,Microsoft Excel,,,,,,
616,616,Passenger Services Officer,8,13.8,30.09,14,Customer Service,Leadership,Teamwork,Time Management,Sales,Communication,Problem-Solving,Administrative Tasks,Travel Industry Knowledge,
617,617,Licensed Practical Nurse- Step-down Unit,7,12.5,37.61,9,Patient Care,Medical Record Keeping,Medication Management,Wound Care,Leadership,Communication,Critical Thinking,Time Management,Patient Education,Teamwork
618,618,Registered Nurse,7,10.0,42.69,18,Leadership,Training and Development,Data Analysis,Health Information Systems,Patient Care,Medical Records Management,Time Management,,,
619,619,Game Design Intern,7,17.8,21.36,10,Game Design,Time Management,Teamwork,Computer Science,,,,,,
620,620,Business Systems Analyst I,9,12.5,55.22,14,Database Design,Marketing Analysis,Data Integration,CRM,Marketing Campaign,Project Management,Leadership,,,
621,621,"Sleep Technologist, RPSGT",7,76.1,1.92,18,Polysomnogram Preparation and Setup,Diagnostic Testing,Patient Monitoring and Scoring,Data Transfers,Windows OS,EEG and LTM,Patient Preparation and Education,Equipment Calibration,Clinical Patient Evaluation,Disease Management Programs
622,622,Customer Service Agent,7,8.3,52.21,14,Customer Service,Communication,Problem-Solving,Time Management,Teamwork,,,,,
623,623,DIRECTOR OF FINANCE,10,31.0,27.25,29,Financial Planning,Financial Strategy,Budgeting,Project Management,Risk Management,Financial Analysis,Leadership,Investment Analysis,Software Implementation,
624,624,Cashier,6,44.1,14.64,19,Customer Service,Data Entry,Leadership,Communication,Time Management,Teamwork,Problem-Solving,Dental Assisting,Mapping,
625,625,HR & Safety Manager,7,13.8,46.56,19,Human Resource Management,Leadership,Change Management,Staff Management,Training and Development,Time Management,,,,
626,626,Senior Finance Manager,9,27.0,39.31,8,Financial Analysis,Financial Reporting,Financial Planning,Leadership,Auditing,Financial Management,Data Analysis,,,
627,627,HR Generalist,9,28.0,38.29,nan,Human Resources,Leadership,Process Improvement,Training and Development,Communication,Project Management,,,,
628,628,HR Intern,7,40.0,18.98,13,Recruitment,Talent Acquisition,Employee Management,Job Analysis,Applicant Tracking System,Leadership,Communication,Human Resources,,
629,629,Staff Accountant,9,12.6,31.83,20.6,Financial Reconciliation,General Accounting,Budgeting,Leadership,GAAP Accounting,Financial Reporting,Data Analysis,,,
630,630,Aviation Technician,6,20.0,4.01,20,Aircraft Maintenance,Aviation Technology,Automotive Repair,Teamwork,Problem-Solving,,,,,
631,631,Current University Programs Lead,9,40.0,23.14,7,Recruitment Strategy,Talent Management,HRIS Systems,Communication,Leadership,Project Management,Data Analysis,Diversity and Inclusion,Microsoft Excel,
632,632,Branch Manager/Operations Manager,8,39.2,13.74,44,Accounting,Financial Management,Payroll Management,Leadership,Microsoft Excel,Claims Adjustment,Subrogation,Customer Service,Time Management,Communication
633,633,Aviation Parts Salesman,7,17.8,46.15,2,Aeronautics,Aviation Safety,,,,,,,,
634,634,Finance Controller,9,12.5,49.87,24,Financial Management,Leadership,Accounting,Budgeting,Financial Analysis,Taxation,Financial Planning,Auditing,Financial Reporting,Microsoft Excel
635,635,Production Excellence Specialist,8,0.0,64.4,8.5,LEAN Manufacturing,Six Sigma Methodologies,Operational Efficiency,Leadership,Quality Assurance,Project Management,Communication,Problem-Solving,,
636,636,National Sales Manager,9,28.0,30.24,34,Sales Management,Leadership,Customer Service,Team Management,Time Management,Communication,Negotiation,Data Analysis,Project Management,Music Education
637,637,"Athletic Director, Coach, PE Teacher",8,12.5,49.31,12,Leadership,Teaching,Curriculum Development,Event Planning,Communication,Motivation,Assessment and Evaluation,Physical Education,Health and Wellness,
638,638,Customer Advocate,4,25.0,32.2,4,Customer Service,Cash Handling,Time Management,Communication,,,,,,
639,639,Surgical Clinical Reviewer,7,0.0,4.01,NaN,Data Analysis,Quality Assurance,Project Management,Leadership,Payroll Management,Business Development,Health Information Management,Clinical Review,Medical Record Abstraction,Compliance
640,640,6 - 8 Language Arts Grade Teacher,7,6.0,67.9,24,Teaching,Lesson Planning,Classroom Management,Project Management,Microsoft Office,Communication,Leadership,Public Speaking,Time Management,Organizational Skills
641,641,Healthcare Recruiter,7,25.0,35.81,10,Recruitment,HR Administration,Training and Development,Onboarding,HR Operations Analysis,Leadership,Communication,Time Management,,
642,642,Senior Associate,9,71.3,4.12,12,Financial Risk Management,Foreign Exchange Trading,Interest Rate Management,Commodities Trading,Portfolio Management,Leadership,Financial Analysis,Risk Management,,
643,643,Sales & Trading Intern,7,20.8,49.3,7,Asset Analysis,Market Analysis,Sales and Trading,Client Relations,Business Planning,Communication,Time Management,,,
644,644,Specialist of Infantry,9,33.3,16.43,28,Leadership,Inventory Management,Logistics,Mechanical Maintenance,Data Entry,Forklift Operation,,,,
645,645,Community Advocate,7,10.0,42.69,12,Customer Service,Team Management,Leadership,Communication,Time Management,Problem-Solving,,,,
646,646,Dining Services Coordinator,8,52.0,13.29,17,Food Service Management,Leadership,Team Management,Communication,Problem-Solving,Time Management,Human Resources Management,,,
647,647,Entrepreneur General Manager,9,10.0,4.01,18,Leadership,Operations Management,Training and Development,Policy Implementation,Inventory Management,Sales Management,,,,
648,648,Trade Finance Officer,9,33.4,30.3,14,Trade Finance,Fund Transfer,Credit Card Management,Customer Service,,,,,,
649,649,Intern,7,17.2,42.09,13,Project Management,Data Entry,Communication,Leadership,Time Management,Healthcare Administration,Real Estate,Mortgage Origination,,
650,650,Investment Accountant,7,25.0,30.37,7,Financial Reconciliation,Investment Analysis,Portfolio Management,Accounting,AML Compliance,Data Analysis,Communication,,,
651,651,Registered Client Service Associate,7,24.8,38.63,24,Customer Service,Account Management,Sales and Marketing,Banking Operations,Technical Writing,,,,,
652,652,Accountant,6,0.0,43.17,nan,Accounting,Payroll Management,Financial Reconciliation,QuickBooks,Peachtree Accounting,Timberline Software,Leadership,Bookkeeping,Tax Preparation,
653,653,Force Analyst,9,8.3,52.62,19,Leadership,Project Management,Data Analysis,Communication,Database Management,Risk Management,Time Management,Problem-Solving,Security,
654,654,Executive Assistant HR,7,10.0,62.24,28,Payroll Management,HR Administration,Administrative Support,Time Management,Organizational Management,Customer Service,,,,
655,655,Communicable Disease Specialist,7,28.0,19.39,8,Case Management,Data Analysis,Public Health,Communication,Project Management,Leadership,Time Management,Risk Management,Customer Service,
656,656,Field Based Nurse Chart Reviewer - Healthcare Informatics,8,22.7,31.5,20,Nursing Care,Leadership,Staff Management,Payroll Management,Education and Training,Policy Development,Electronic Medical Records,Workflow Analysis,Quality Assurance,
657,657,Shift Supervisor,7,0.0,68.31,10,Leadership,Customer Service,Time Management,Communication,Team Management,,,,,
658,658,Healthcare Administration Intern,8,33.3,19.92,21,Leadership,Project Management,Communication,Time Management,Patient Education,Laboratory Testing,Data Analysis,Health Administration,Staff Development,Quality Improvement
659,659,Interim Membership Director,8,23.5,43.24,23,Leadership,Management,Payroll Management,Inventory Management,Sales,Training and Development,Communication,Time Management,Customer Service,Health and Wellness
660,660,Finance Director,10,4.0,68.29,24,Accounting,Financial Reconciliation,Budgeting,Leadership,Financial Reporting,Audit Management,Process Improvement,Financial Analysis,Microsoft Excel,
661,661,HR Administrator,7,11.6,50.32,17.09,Human Resources,Administrative Support,Microsoft Excel,ADP Software,Recruitment,Communication,Project Management,,,
662,662,Fitness Attendant,6,30.0,29.06,2,Nutrition Counseling,Patient Assessment,Dietary Planning,Food Safety and Sanitation,Communication,Teamwork,,,,
663,663,"AVP, Finance",9,11.7,59.91,21,General Accounting,Financial Reconciliation,Payroll Management,Budgeting,Leadership,Financial Analysis,Accounts Payable/Accounts Receivable,Tax Preparation,General Ledger Accounting,
664,664,Health Information Specialist,7,6.0,64.06,13.75,Health Information Management,HIPAA Compliance,Medical Records Management,Billing and Reimbursement,Payroll Management,Leadership,Quality Assurance,Compliance and Regulatory Affairs,,
665,665,Owner,9,75.0,0.89,26,Leadership,Technology Management,Database Solutions,Troubleshooting,Hardware and Software Installation,Presentation Skills,Educational Leadership,Computer Science,Filemaker,
666,666,Sr. HR Generalist,9,0.0,76.84,12,Human Resources Management,Payroll Management,Recruitment and Hiring,Employee Relations,Benefits Administration,Training and Development,Budgeting,Leadership,,
667,667,Finance Supervisor,9,10.0,60.02,22,Financial Planning,Financial Analysis,Budgeting,Financial Reporting,Leadership,Accounting,Data Analysis,Project Management,,
668,668,Fitness Instructor,8,0.0,37.18,24,Sales Management,Leadership,Marketing Strategy,Product Education,Event Planning,Inventory Management,Customer Service,Public Speaking,Business Operations,Entrepreneurship
669,669,Finance Consultant,8,17.5,58.24,19,Financial Analysis,Data Analysis,Financial Reporting,Project Management,Leadership,Microsoft Excel,SQL,Business Intelligence,Access,Risk Management
670,670,Geek Squad Agent,5,40.2,22.03,11,Technical Support,Hardware Installation and Repair,Software Installation and Repair,Inventory Management,Logistics and Warehouse Management,Troubleshooting,Maintenance and Repair,Quality Control,Computer Hardware,Computer Software
